Date;Close
13/11/2019;50115.49
12/11/2019;50210.49
11/11/2019;49976.02
08/11/2019;50406.94
07/11/2019;51223.34
06/11/2019;51410.32
05/11/2019;50984.38
04/11/2019;50673.73
01/11/2019;50428.14
31/10/2019;50168.48
30/10/2019;49629.32
29/10/2019;49477.44
28/10/2019;49516.5
25/10/2019;48858.47
24/10/2019;49124.43
23/10/2019;49244.55
22/10/2019;49610.14
21/10/2019;49834.61
18/10/2019;49510.9
17/10/2019;49715.3
16/10/2019;49855.06
15/10/2019;49391.2
14/10/2019;49110.74
11/10/2019;49404.06
10/10/2019;49032.54
09/10/2019;48310.69
08/10/2019;48465.32
07/10/2019;48635.63
04/10/2019;47975.44
03/10/2019;47743.89
02/10/2019;48005.41
01/10/2019;48938.16
30/9/2019;48813.59
27/9/2019;49167.52
26/9/2019;49243.65
25/9/2019;48865.06
23/9/2019;49559.37
20/9/2019;50341.64
19/9/2019;50077.78
18/9/2019;50134.23
17/9/2019;50873.91
16/9/2019;51801.53
13/9/2019;51145.56
12/9/2019;50768.84
11/9/2019;50359.15
10/9/2019;49484.56
09/9/2019;49602.2
06/9/2019;49673.77
05/9/2019;49576.77
04/9/2019;49031.01
03/9/2019;48872.85
02/9/2019;48889.37
30/8/2019;49320.23
29/8/2019;48561.36
28/8/2019;48429.35
27/8/2019;48147.85
26/8/2019;48042.94
23/8/2019;48247.95
22/8/2019;48435.04
21/8/2019;48837.01
20/8/2019;48545.63
19/8/2019;48646.95
16/8/2019;48158.38
15/8/2019;48116.97
14/8/2019;48277.82
13/8/2019;49448.44
12/8/2019;49512.94
08/8/2019;49619.58
07/8/2019;49253.74
06/8/2019;49113.36
05/8/2019;49066.14
02/8/2019;50332.33
01/8/2019;51331.52
31/7/2019;50798.7
30/7/2019;51206.88
29/7/2019;51977.41
26/7/2019;51522.69
25/7/2019;51563.21
24/7/2019;51626.64
23/7/2019;52209.63
22/7/2019;51890.58
19/7/2019;52107.18
18/7/2019;51733.36
17/7/2019;51565.16
16/7/2019;51958.04
15/7/2019;51447.25
12/7/2019;51189.53
11/7/2019;51188.17
10/7/2019;51491.95
09/7/2019;50908.51
08/7/2019;51649.36
05/7/2019;51539.3
04/7/2019;51746.94
03/7/2019;51960.56
02/7/2019;52093.35
01/7/2019;52464.75
28/6/2019;52198.94
27/6/2019;52056.36
26/6/2019;52407.3
25/6/2019;52279.51
24/6/2019;52760.96
